LanePointX,LanePointY
-1.381974,1.650000
-1.115962,1.650000
-0.848959,1.650000
-0.597258,1.650000
-0.344678,1.650000
-0.094698,1.650000
0.172020,1.650000
0.437031,1.650000
0.704255,1.650000
0.968746,1.650000
1.230427,1.650000
1.497434,1.650000
1.757726,1.650000
2.015555,1.650000
2.284732,1.650000
6.700163,1.650000
6.982301,1.650000
7.270665,1.650000
7.566493,1.650000
7.869074,1.650000
8.178931,1.650000
8.495442,1.650000
8.819009,1.650000
9.149431,1.650000
9.402048,1.650000
9.657166,1.650000
9.916386,1.650000
10.177377,1.650000
10.442188,1.650000
10.707883,1.650000
18.159796,1.650000
18.435158,1.650000
18.712336,1.650000
18.989699,1.650000
23.840802,1.650000
24.177713,1.650000
24.515359,1.650000
24.859160,1.650000
25.205481,1.650000
25.556910,1.650000
25.910971,1.650000
26.269925,1.650000
26.632012,1.650000
26.998730,1.650000
27.368519,1.650000
27.742876,1.650000
27.994211,1.650000
28.245783,1.650000
28.499990,1.650000
32.676897,1.650000
32.941142,1.650000
33.205924,1.650000
33.470812,1.650000
33.735170,1.650000
34.000275,1.650000
34.264729,1.650000
34.528559,1.650000
34.792815,1.650000
35.057056,1.650000
35.321191,1.650000
35.585242,1.650000
35.849335,1.650000
36.113036,1.650000
36.378815,1.650000
40.588295,1.650000
40.849381,1.650000
41.113981,1.650000
41.373918,1.650000
41.636728,1.650000
41.900837,1.650000
42.160636,1.650000
42.423240,1.650000
42.684737,1.650000
42.945872,1.650000
43.208285,1.650000
43.469771,1.650000
43.731487,1.650000
43.993127,1.650000
44.254535,1.650000
51.801663,1.650000
52.060974,1.650000
56.197308,1.650000
56.456183,1.650000
56.714110,1.650000
56.972779,1.650000
57.231633,1.650000
57.489430,1.650000
57.748153,1.650000
58.005769,1.650000
58.264082,1.650000
58.522505,1.650000
58.779831,1.650000
59.037925,1.650000
59.296165,1.650000
59.553343,1.650000
59.811490,1.650000
63.922527,1.650000
64.178574,1.650000
64.434883,1.650000
64.691003,1.650000
64.946987,1.650000
65.205121,1.650000
65.460818,1.650000
65.714784,1.650000
65.970478,1.650000
66.227542,1.650000
66.481404,1.650000
66.737047,1.650000
66.992505,1.650000
67.248418,1.650000
67.505176,1.650000
71.596775,1.650000
71.850571,1.650000
72.106335,1.650000
72.361808,1.650000
72.617691,1.650000
72.875608,1.650000
73.128495,1.650000
73.383972,1.650000
73.639654,1.650000
73.895859,1.650000
74.153524,1.650000
74.407170,1.650000
74.663105,1.650000
74.918748,1.650000
75.174451,1.650000
79.270000,1.650000
79.524325,1.650000
